fact_code,line_code,smv,running_days,total_target,day_output,total_present,available_mins,output_mins,output_target,absent_rate,alter_rate,spot_rate,reject_rate,dow,date
1001,100105,,9,1000,900,52,31200,,0.9,0.1186441,0.0536278,,0,4,19/12/2013
1001,100105,,8,700,850,53,31800,,1.214286,0.1166667,0.1052632,,0.0010526,1,2/12/2013
1001,100105,,1,2200,1700,49,29400,,0.7727273,0.1403509,0.0659341,,0,6,21/12/2013
1001,100105,,2,3300,2800,51,30600,,0.8484849,0.1206897,0.0351482,,0,0,22/12/2013
1001,100105,,3,4000,3450,50,30000,,0.8625,0.122807,0.0300815,,0,1,23/12/2013
1001,100105,,4,4000,2883,51,30600,,0.72075,0.1206897,0.046627,,0.0006614,2,24/12/2013
1001,100105,,5,4000,3620,51,30600,,0.95,0.1206897,0.0343075,,0.0005083,3,25/12/2013
1001,100105,,6,4000,3400,51,30600,,0.85,0.1206897,0.0381895,,0.0016973,4,26/12/2013
1001,100105,,7,4000,3620,50,30000,,0.95,0.137931,0.0391909,,0.0010114,6,28/12/2013
1001,100105,,8,4000,3620,48,28800,,0.95,0.1724138,0.0338164,,0.0015256,0,29/12/2013
1001,100105,,9,700,750,52,31200,,1.071429,0.1333333,0.1176471,,0,2,3/12/2013
1001,100105,,9,4000,3310,49,29400,,0.8275,0.1551724,0.0361095,,0.0008736,1,30/12/2013
1001,100105,,10,1900,1600,50,26940,,0.8421053,0.1666667,0.0407674,,0.001199,2,31/12/2013
1001,100105,,10,600,800,52,24960,,1.333333,0.1186441,0.0836197,,0,3,4/12/2013
1001,100105,,11,700,3620,52,31200,,1.598765,0.1186441,0.0106545,,0,4,5/12/2013
1001,100105,,12,750,450,53,31800,,0.6,0.1166667,0.1573034,,0,6,7/12/2013
1001,100105,,13,400,755,52,0,,1.598765,0.1186441,0.1001192,,0,0,8/12/2013
1001,100105,,14,500,110,53,31800,,0.22,0.1166667,0.3373494,,0,1,9/12/2013
1001,100105,,15,4080,3620,37,26640,,0.8950617,0.212766,0.0320427,,0.0021696,0,10/2/2013
1001,100105,,16,4080,3620,37,26640,,0.9722222,0.212766,0.0352221,,0.0012251,1,11/2/2013
1001,100105,,17,4080,3620,36,21600,,1.009259,0.2340426,0.0381221,,0.0014119,2,12/2/2013
1001,100105,,18,4080,3620,37,26640,,0.9799383,0.212766,0.0320122,,0.001372,3,13/2/2013
1001,100105,,19,4080,3620,32,19200,,1.030556,0.3191489,0.0345246,,0.0024289,4,14/2/2013
1001,100105,,20,4080,3620,36,25920,,0.9722222,0.2173913,0.0335941,,0.0021476,6,16/2/2013
1001,100105,,21,4080,3620,36,25920,,0.9799383,0.2173913,0.0388981,,0.0015135,0,17/2/2013
1001,100105,,22,4080,3620,36,21600,,1,0.2173913,0.0423834,,0.0028374,1,18/2/2013
1001,100105,,23,4080,3620,36,25920,,0.9722222,0.2340426,0.0399269,,0.0024383,2,19/2/2013
1001,100105,,8,4080,3620,35,25200,,0.9645061,0.2222222,0.0314582,,0.0018596,6,2/2/2013
1001,100105,,24,4080,3620,36,25920,,0.9567901,0.2340426,0.0378647,,0.0037244,3,20/2/2013
1001,100105,,25,4080,3620,36,21600,,0.9638889,0.2340426,0.0444281,,0.0040389,6,23/2/2013
1001,100105,,26,200,1485,37,17760,,1.598765,0.212766,0.0394567,,0.0051746,0,24/2/2013
1001,100105,,2,800,600,37,22200,,0.75,0.212766,0.086758,,0.0030441,1,25/2/2013
1001,100105,,3,1500,1450,38,27360,,0.9666666,0.1914894,0.0553746,,0.0006515,2,26/2/2013
1001,100105,,,,,37,,,,0.212766,,,,3,27/2/2013
1001,100105,,,,,39,,,,0.1702128,,,,4,28/2/2013
1001,100105,,9,4080,3620,35,21000,,0.9740741,0.2222222,0.0353934,,0.0022006,0,3/2/2013
1001,100105,,10,4080,3620,36,25920,,0.9722222,0.2173913,0.0294254,,0.0015406,1,4/2/2013
1001,100105,,11,4080,3620,36,25920,,0.9182099,0.2173913,0.0304709,,0.0027701,2,5/2/2013
1001,100105,,12,4080,3620,36,21600,,0.962963,0.2173913,0.0356083,,0.0012982,3,6/2/2013
1001,100105,,13,4080,3620,36,21600,,1,0.2173913,0.0332975,,0.0021482,4,7/2/2013
1001,100105,,14,4080,3620,37,37740,,0.8071895,0.212766,0.0215238,,0,6,9/2/2013
1001,100105,,8,4080,3620,36,21600,,0.9285714,0.2,0.0429112,,0.000631,0,10/3/2013
1001,100105,,1,4080,3620,38,27360,,0.7584952,0.1555556,0.0547013,,0.0022687,1,11/3/2013
1001,100105,,2,4080,3370,38,35887.2,,0.7020833,0.1363636,0.0736466,,0.0002748,2,12/3/2013
1001,100105,,2,4080,3620,38,22800,,0.8265306,0.1363636,0.0436012,,0.0018855,3,13/3/2013
1001,100105,,,,,37,,,,0.1590909,,,,4,14/3/2013
1001,100105,,3,4080,3620,40,,,0.875,0.1304348,0.043705,,0.0002483,6,16/3/2013
1001,100105,,4,3500,3350,40,26544,,0.9571428,0.1304348,0.0367499,,0.0014355,0,17/3/2013
1001,100105,,5,2650,2405,41,26912.4,,0.9075472,0.1086956,0.0270488,,0.0020186,1,18/3/2013
1001,100105,,2,2800,2695,40,26544,,0.9625,0.1304348,0.0657895,,0.0010388,2,19/3/2013
1001,100105,,1,2300,1325,37,20157.6,,0.5760869,0.1956522,0.0642655,,0.0007062,6,2/3/2013
1001,100105,,7,3000,2000,39,23400,,0.6666667,0.1521739,0.0645463,,0,3,20/3/2013
1001,100105,,4,3900,2600,37,38916.6,,0.6666667,0.1777778,0.0650611,,0.0003595,6,23/3/2013
1001,100105,,9,4080,2955,38,39968.4,,0.7207317,0.1555556,0.0697894,,0.0012575,0,24/3/2013
1001,100105,,6,2100,1166,38,41724,,0.5552381,0.1555556,0.1169978,,0,1,25/3/2013
1001,100105,,7,3100,1747,38,36092.4,,0.5635484,0.1363636,0.0592034,,0.0005382,3,27/3/2013
1001,100105,,8,2800,2005,37,26640,,0.7160714,0.1590909,0.0626461,,0,4,28/3/2013
1001,100105,,2,3000,1950,37,20157.6,,0.65,0.1956522,0.0015361,,0.000512,0,3/3/2013
1001,100105,,9,3500,2160,39,48718.8,,0.6171429,0.1521739,0.0893384,,0.0004214,6,30/3/2013
1001,100105,,10,3200,2530,40,28800,,0.790625,0.1304348,0.0848069,,0.0021653,0,31/3/2013
1001,100105,,3,3600,3200,39,23400,,0.8888889,0.1521739,0.0613083,,0.00088,1,4/3/2013
1001,100105,,4,4000,3620,39,23400,,0.925,0.1702128,0.0585242,,0.0007634,2,5/3/2013
1001,100105,,5,4080,3620,40,24000,,1,0.1489362,0.0556138,,0.0004197,3,6/3/2013
1001,100105,,6,4080,3620,38,22800,,0.9777778,0.1914894,0.0484429,,0.0004325,4,7/3/2013
1001,100105,,7,4080,3620,38,22800,,0.9284444,0.173913,0.0459009,,0.0013702,6,9/3/2013
1001,100105,,5,2000,1805,38,22800,,0.9025,0.1914894,0.0719738,,0.0010905,1,1/4/2013
1001,100105,,6,2500,2110,40,28800,,0.844,0.1489362,0.1076858,,0.0012669,3,10/4/2013
1001,100105,,7,1900,1670,37,23776.2,,0.8789474,0.212766,0.0940032,,0.0037817,4,11/4/2013
1001,100105,,15,1000,620,35,21000,,0.62,0.2553191,0.1695594,,0.0026702,6,13/4/2013
1001,100105,,14,1700,1310,35,23478,,0.7705882,0.2553191,0.0719831,,0.0035286,1,15/4/2013
1001,100105,,17,800,600,34,24480,,0.75,0.2765957,0.1030928,,0.0132548,2,16/4/2013
1001,100105,,18,1200,950,37,26640,,0.7916667,0.212766,0.0765086,,0.0075431,3,17/4/2013
1001,100105,,19,1600,1400,38,22800,,0.875,0.1914894,0.0395095,,0.006812,4,18/4/2013
1001,100105,,12,1000,2025,38,22800,,1.598765,0.1914894,0.0704483,,0.0032022,2,2/4/2013
1001,100105,,20,1500,1400,38,22800,,0.9333333,0.1555556,0.0453622,,0.0067705,6,20/4/2013
1001,100105,,21,2000,1500,40,28800,,0.75,0.1111111,0.0389527,,0.0031928,0,21/4/2013
1001,100105,,1,1000,600,41,19680,,0.6,0.0888889,0.0163934,,0,1,22/4/2013
1001,100105,,2,1200,800,43,25800,,0.6666667,0.0851064,0.0183599,,0.002448,2,23/4/2013
1001,100105,,3,1200,800,43,25800,,0.6666667,0.0851064,0.0642523,,0.0011682,3,24/4/2013
1001,100105,,4,1200,800,42,25200,,0.6666667,0.106383,0.0751445,,0,4,25/4/2013
1001,100105,,5,1200,900,,,,0.75,,0.0526316,,0,6,27/4/2013
1001,100105,,6,1200,900,,,,0.75,,0.0814664,,0.0020367,0,28/4/2013
1001,100105,,7,1300,1000,43,25800,,0.7692308,0.0851064,0.0697026,,0.0009294,1,29/4/2013
1001,100105,,1,1000,450,39,23400,,0.45,0.1702128,0.1697417,,0,3,3/4/2013
1001,100105,,8,1300,1000,43,30960,,0.7692308,0.0851064,0.0671642,,0,2,30/4/2013
1001,100105,,2,2000,1620,37,23776.2,,0.81,0.212766,0.221968,,0,4,4/4/2013
1001,100105,,9,700,660,41,24600,,0.9428571,0.1276596,0.1258191,,0.0091743,6,6/4/2013
1001,100105,,3,2700,2370,40,28800,,0.8777778,0.1489362,0.0689115,,0.0031323,0,7/4/2013
1001,100105,,4,3000,2350,40,28800,,0.7833334,0.1489362,0.0583153,,0.0006171,1,8/4/2013
1001,100105,,5,2700,1970,40,28800,,0.7296296,0.1489362,0.1135548,,0.0022442,2,9/4/2013
1001,100105,,8,1500,1300,42,30240,,0.8666667,0.0869565,0.0584838,,0.0028881,6,11/5/2013
1001,100105,,9,1250,1100,42,25200,,0.88,0.0869565,0.060477,,0.0025554,0,12/5/2013
1001,100105,,10,1250,1100,41,24600,,0.88,0.0888889,0.0628717,,0.0025489,1,13/5/2013
1001,100105,,11,1000,520,42,,,0.52,0.0666667,0.1169492,,0.0016949,2,14/5/2013
1001,100105,,2,300,260,42,25200,,0.8666667,0.0869565,0.1065292,,0,3,15/5/2013
1001,100105,,3,1000,700,41,24600,,0.7,0.1086956,0.0604027,,0,4,16/5/2013
1001,100105,,4,1200,1070,42,30240,,0.8916667,0.0666667,0.0480427,,0,6,18/5/2013
1001,100105,,5,1400,1300,44,31680,,0.9285714,0.0222222,0.0398818,,0,0,19/5/2013
1001,100105,,1,1300,1100,44,31680,,0.8461539,0.0638298,0.0467938,,0,4,2/5/2013
1001,100105,,6,1200,1150,40,24000,,0.9583333,0.1111111,0.0526749,,0.000823,1,20/5/2013
1001,100105,,7,1500,1400,37,26640,,0.9333333,0.1395349,0.0417237,,0.000684,2,21/5/2013
1001,100105,,8,1500,1400,37,26640,,0.9333333,0.1590909,0.0404387,,0,3,22/5/2013
1001,100105,,9,1500,1400,39,28080,,0.9333333,0.1333333,0.0377747,,0.0006868,4,23/5/2013
1001,100105,,10,1500,1450,42,30240,,0.9666666,0.0666667,0.0346205,,0,6,25/5/2013
1001,100105,,11,1500,1500,42,30240,,1,0.0666667,0.028479,,0.0006472,0,26/5/2013
1001,100105,,12,1500,1250,44,31680,,0.8333333,0.0434783,0.0450382,,0.0007634,1,27/5/2013
1001,100105,,13,1500,1500,45,32400,,1,0.0425532,0.0396419,,0.0012788,2,28/5/2013
1001,100105,,14,1600,1550,47,33840,,0.96875,0,0.0420272,,0,3,29/5/2013
1001,100105,,15,1000,900,47,22560,,0.9,0,0.0466102,,0,4,30/5/2013
1001,100105,,2,1300,500,44,26400,,0.3846154,0.0638298,0.0987433,,0.0035907,6,4/5/2013
1001,100105,,3,1300,1000,43,25800,,0.7692308,0.0851064,0.0757156,,0.0009234,0,5/5/2013
1001,100105,,4,1400,1100,45,32400,,0.7857143,0.0425532,0.0621277,,0.0017021,1,6/5/2013
1001,100105,,5,1500,1300,46,33120,,0.8666667,0.0212766,0.0543478,,0.0036232,2,7/5/2013
1001,100105,,6,1500,1300,46,33120,,0.8666667,0.0212766,0.0847933,,0.0042046,3,8/5/2013
1001,100105,,7,1500,1300,45,32400,,0.8666667,0.0217391,0.0613276,,0.0007215,4,9/5/2013
1001,100105,,16,500,220,48,11520,,0.44,0.1578947,0.0765306,,0.005102,6,1/6/2013
1001,100105,,9,2000,1800,44,31680,,0.9,0.1851852,0.0351812,,0.0053305,1,10/6/2013
1001,100105,,10,2000,1850,45,32400,,0.925,0.1818182,0.0363071,,0.0041494,2,11/6/2013
1001,100105,,11,2000,1800,49,35280,,0.9,0.1090909,0.0347408,,0.0032068,3,12/6/2013
1001,100105,,12,2000,1900,49,35280,,0.95,0.1090909,0.0320611,,0.0010178,4,13/6/2013
1001,100105,,13,2200,2000,51,36720,,0.9090909,0.1052632,0.0383325,,0.0033541,6,15/6/2013
